| Training perplexity  | Dropout 0 | Dropout 0.2 | Dropout 0.4 | Dropout 0.6 | Dropout 0.8 |
| 01 | 675.51 | 691.96 | 687.33 | 684.52 | 730.77 |
| 02 | 300.65 | 308.50 | 322.61 | 347.32 | 411.76 |
| 03 | 216.68 | 231.00 | 249.15 | 278.79 | 356.08 |
| 04 | 170.88 | 188.85 | 208.88 | 244.26 | 327.03 |
| 05 | 139.55 | 160.08 | 183.62 | 221.33 | 309.47 |
| 06 | 113.20 | 138.06 | 164.63 | 204.85 | 297.30 |
| 07 | 77.55 | 119.14 | 149.44 | 192.48 | 288.44 |
| 08 | 65.94 | 102.98 | 136.59 | 183.15 | 281.45 |
| 09 | 57.31 | 78.33 | 125.58 | 174.91 | 277.06 |
| 10 | 54.59 | 70.70 | 116.19 | 168.19 | 272.35 |
| 11 | 53.65 | 64.43 | 108.56 | 162.20 | 267.31 |
| 12 | 53.35 | 62.17 | 90.36 | 156.98 | 262.67 |
| 13 | 53.27 | 61.59 | 84.70 | 151.48 | 260.03 |
| 14 | 53.25 | 61.49 | 81.21 | 147.58 | 257.06 |
| 15 | 53.25 | 61.44 | 77.04 | 143.70 | 253.72 |
| 16 | 53.25 | 61.36 | 75.67 | 130.04 | 252.04 |
| 17 | 53.25 | 61.37 | 74.27 | 123.96 | 250.19 |
| 18 | 53.25 | 61.48 | 74.12 | 121.36 | 248.14 |
| 19 | 53.25 | 61.41 | 73.97 | 119.30 | 234.93 |
| 20 | 53.25 | 61.54 | 73.77 | 115.06 | 226.16 |
| 21 | 53.25 | 61.37 | 73.99 | 114.19 | 222.32 |
| 22 | 53.25 | 61.25 | 73.59 | 113.30 | 220.03 |
| 23 | 53.25 | 61.48 | 73.52 | 112.56 | 216.78 |
| 24 | 53.25 | 61.25 | 73.46 | 111.46 | 215.95 |
| 25 | 53.25 | 61.38 | 73.56 | 111.25 | 213.89 |
| 26 | 53.25 | 61.34 | 73.62 | 110.77 | 211.66 |
| 27 | 53.25 | 61.44 | 73.61 | 109.84 | 210.36 |
| 28 | 53.25 | 61.42 | 73.46 | 109.39 | 208.48 |
| 29 | 53.25 | 61.43 | 73.67 | 110.04 | 207.48 |
| 30 | 53.25 | 61.23 | 73.37 | 109.27 | 205.67 |